Activity Type,Distance,Calories,Avg HR,Max HR,Aerobic TE,Total Reps,Total Sets,Elapsed Time (hours),Total Calories,Steps,Goal_Achieved
Calgary Cycling,11.96,413,135,159,2.5,0,0,0.647,2723,4896,0
Calgary Cycling,19.4,1032,138,184,3.2,0,0,3.132,3971,4850,0
Calgary Cycling,12.15,556,118,155,2.3,0,0,6.922,2806,2940,0
Cardio,0,107,106,143,0.7,0,0,0.263,2806,2940,0
Cardio,0,163,114,147,1.1,0,0,0.345,2437,2446,0
Cardio,0,117,93,141,0.4,0,0,0.409,2316,2407,0
Calgary Hiking,8.36,1007,90,122,0.6,0,0,3.707,2875,14244,1
Cardio,0,253,121,156,1.8,0,0,0.503,2384,1159,0
Calgary Hiking,9.84,1312,105,145,2.0,0,0,4.193,3117,14896,1
Cardio,0,209,118,145,1.3,0,0,0.761,2452,1844,0
Calgary Cycling,8.17,351,131,173,2.5,0,0,1.027,2865,3120,0
Cardio,0,899,117,171,2.9,0,0,2.211,2882,4150,0
Strength,0,258,106,147,1.2,238,20,0.743,2385,2647,0
Cardio,0,55,132,149,0.8,0,0,0.082,2896,4932,0
Cardio,0,233,130,169,2.3,0,0,0.364,2896,4932,0
Calgary Cycling,23.96,1574,139,187,3.8,0,0,4.477,3785,4556,0
Hockey,0,504,141,176,3.0,0,0,0.752,2834,5334,0
Calgary Cycling,2.5,219,96,138,0.9,0,0,0.749,2599,2981,0
Strength,0,351,100,142,0.9,321,31,1.231,2599,2981,0
Calgary Walking,6.93,655,100,175,2.2,0,0,2.096,3033,12726,1
Strength,0,487,90,129,0.5,466,38,2.102,3033,12726,1
Calgary Cycling,20.46,829,122,181,3.0,0,0,4.394,3224,3775,0
Strength,0,199,111,128,0.9,230,19,0.516,3224,3775,0
Calgary Walking,10.82,1030,84,136,0.7,0,0,4.136,2867,15385,1
Strength,0,700,93,134,0.6,757,54,2.879,2634,2838,0
Calgary Hiking,16.89,1814,120,166,2.8,0,0,5.010,3671,27680,1
Strength,0,167,89,121,0.4,131,12,0.716,2298,2701,0
Calgary Cycling,7.64,330,152,182,3.2,0,0,0.418,3303,5675,0
Strength,0,594,105,142,1.1,429,29,1.869,3303,5675,0
Calgary Running,3.01,237,161,195,3.1,0,0,0.316,2775,7510,1
Strength,0,288,83,129,1.0,402,27,2.081,2775,7510,1
Cardio,0,748,99,159,2.2,0,0,2.339,3003,10495,1
Strength,0,328,106,133,1.3,434,37,1.034,2471,3245,0
Calgary Cycling,9.56,434,115,148,1.8,0,0,1.078,3432,4567,0
Cardio,0,389,133,166,2.4,0,0,0.670,3432,4567,0
Calgary Cycling,5.8,215,133,157,2.1,0,0,0.334,3432,4567,0
Strength,0,336,100,131,0.7,334,27,1.167,3432,4567,0
Strength,0,202,105,145,0.8,203,16,0.579,2350,2660,0
Strength,0,418,115,148,2.0,162,13,0.996,2726,4612,0
Calgary Running,1.72,114,150,179,2.2,0,0,0.140,2726,4612,0
Calgary Cycling,28.53,1087,100,165,2.2,0,0,3.509,2921,566,0
Strength,0,155,96,121,0.5,197,17,0.574,2648,8745,1
Strength,0,132,93,123,0.4,193,14,0.509,2462,7402,1
Cardio,0,803,120,159,2.2,0,0,1.951,4675,7960,1
Strength,0,287,115,147,1.4,187,19,0.701,4675,7960,1
Calgary Cycling,30.41,1528,124,179,3.6,0,0,3.796,4675,7960,1
Calgary Hiking,8.9,1002,86,139,0.6,0,0,4.176,2831,13587,1
Strength,0,446,110,149,1.6,426,39,1.294,2500,2603,0
Strength,0,199,117,142,1.3,268,23,0.452,2925,7530,1
Cardio,0,836,115,145,2.1,0,0,2.203,3256,10038,1
Strength,0,498,103,174,3.0,343,23,1.402,3256,10038,1
Strength,0,96,100,127,0.4,127,9,0.303,3424,20459,1
Calgary Hiking,7.13,1275,118,160,2.9,0,0,3.463,3424,20459,1
Calgary Cycling,9.19,331,114,170,2.2,0,0,0.721,2903,2646,0
Calgary Cycling,8.93,430,150,179,3.5,0,0,0.547,2903,2646,0
Strength,0,100,118,170,1.1,154,11,0.208,2411,2984,0
Calgary Hiking,9.7,1320,100,139,1.0,0,0,4.459,3191,14224,1
Calgary Cycling,27.55,806,100,142,1.6,0,0,2.703,2829,3231,0
Strength,0,90,89,115,0.2,262,24,0.447,2229,2464,0
Cardio,0,1108,135,169,3.2,0,0,2.114,3166,7657,1
Strength,0,154,103,136,0.9,265,20,0.681,2324,2898,0
Calgary Cycling,7.42,297,153,184,3.2,0,0,0.543,2983,3452,0
Strength,0,153,115,140,1.0,168,13,0.352,2491,5306,0
Strength,0,220,121,153,2.0,213,19,0.443,2606,4499,0
Cardio,0,89,146,165,2.0,0,0,0.111,2606,4499,0
Calgary Cycling,16.06,613,101,136,1.0,0,0,1.999,2647,3050,0
Calgary Hiking,11.86,1117,95,135,0.9,0,0,4.243,2929,9252,1
Calgary Cycling,1.66,49,122,145,0.6,0,0,0.085,4266,14582,1
Cardio,0,740,119,160,2.2,0,0,1.816,4266,14582,1
Calgary Cycling,8.29,391,144,177,3.0,0,0,0.549,4266,14582,1
Calgary Cycling,15.93,637,144,175,3.2,0,0,1.003,4266,14582,1
Strength,0,572,100,139,0.6,661,50,2.037,2564,2371,0
Strength,0,207,98,133,0.4,336,27,0.744,3304,11413,1
Calgary Cycling,6.86,325,110,148,1.3,0,0,2.740,3304,11413,1
Strength,0,111,107,125,0.5,151,15,0.311,2382,4499,0
Calgary Cycling,8.29,313,119,184,2.4,0,0,0.709,2524,2976,0
Strength,0,237,90,129,0.4,399,35,1.074,2481,6895,1
Calgary Walking,3.58,506,130,186,2.9,0,0,0.935,2585,4651,0
Cardio,0,477,116,159,1.8,0,0,1.163,2726,5497,0
Strength,0,116,102,127,0.5,197,16,0.374,2726,5497,0
Calgary Cycling,8.61,289,136,177,2.5,0,0,0.430,2525,2261,0
Strength,0,123,84,120,0.3,188,13,0.624,2525,2261,0
Calgary Walking,4.82,1433,99,169,2.2,0,0,4.970,3301,6261,1
Calgary Walking,1.87,531,111,147,1.7,0,0,1.506,2537,3695,0
Calgary Hiking,5.11,2257,124,172,3.4,0,0,5.616,4594,18772,1
Calgary Hiking,11.07,1187,91,138,0.5,0,0,4.473,3160,13871,1
Strength,0,494,111,149,1.5,422,33,1.421,3260,3903,0
Calgary Cycling,23.43,723,110,162,2.0,0,0,2.026,3260,3903,0
Strength,0,244,105,135,0.8,302,25,0.733,2322,1343,0
Strength,0,245,132,165,2.0,238,18,0.430,3192,8208,1
Calgary Cycling,7.28,263,138,179,2.7,0,0,0.426,3192,8208,1
Strength,0,269,125,149,2.0,287,21,0.518,2780,7513,1
Vancouver Hiking,10.49,848,108,148,1.9,0,0,2.563,3132,18966,1
Vancouver Cycling,20.35,1403,159,190,5.0,0,0,1.972,3664,4961,0
Vancouver Cycling,45.12,1779,90,147,1.3,0,0,7.402,3496,4245,0
Vancouver Cycling,2.26,423,125,157,2.2,0,0,0.869,3468,21153,1
Vancouver Hiking,11.98,1323,97,140,2.0,0,0,4.848,3468,21153,1
Vancouver Hiking,8.11,713,98,134,0.6,0,0,2.613,3418,15963,1
Vancouver Cycling,20.97,844,112,163,2.3,0,0,2.101,3418,15963,1
Vancouver Cycling,10.24,830,127,165,2.6,0,0,1.808,3184,10461,1
Vancouver Hiking,4.36,373,101,133,1.1,0,0,1.103,3184,10461,1
Halifax Walking,5.06,336,82,122,0.3,0,0,1.677,2661,14235,1
Halifax Kayak,2.1,165,87,109,0.2,0,0,0.646,2994,12204,1
Strength,0,579,109,141,1.4,358,29,1.711,2994,12204,1
Calgary Cycling,15.21,423,123,168,2.6,0,0,0.889,3292,10212,1
Strength,0,243,107,139,1.0,252,19,0.688,3292,10212,1
Strength,0,994,121,150,2.4,287,31,2.531,3294,5723,1
Calgary Cycling,1.53,78,122,149,0.9,0,0,0.135,3294,5723,1
Cardio,0,468,122,156,2.2,0,0,1.025,2913,11599,1
Strength,0,71,106,130,0.5,93,7,0.187,2913,11599,1
Calgary Walking,1.59,104,82,106,0.3,0,0,0.347,2272,5246,0
Calgary Hockey,4.49,874,145,180,3.6,0,0,1.242,3395,3941,0
Calgary Cycling,15.8,460,126,159,2.3,0,0,0.901,3395,3941,0
Strength,0,322,127,156,2.2,93,11,0.588,2453,2049,0
Strength,0,275,121,153,1.9,94,10,0.575,2485,2907,0
Cardio,0,255,154,170,3.0,0,0,0.300,2930,8566,1
Strength,0,340,111,137,1.3,113,12,0.881,2930,8566,1
Cardio,0,840,135,176,3.2,0,0,1.522,2882,6269,1
Calgary Cycling,16.83,626,97,141,1.4,0,0,2.117,2629,3279,0
Cardio,0,790,137,180,3.2,0,0,1.511,2837,1979,0
Cardio,0,765,116,162,2.1,0,0,1.933,3553,9230,1
Strength,0,672,125,167,2.6,224,22,1.501,3553,9230,1
Pool Swimming,225,55,138,159,1.9,0,0,0.155,3553,9230,1
Calgary Hiking,3.4,335,78,109,0.2,0,0,2.000,2303,6475,1
Strength,0,117,111,138,0.8,160,14,0.294,2377,3942,0
Hockey,0,1018,158,188,4.7,0,0,1.302,3902,4888,0
Calgary Cycling,26.28,730,133,170,2.8,0,0,1.334,3902,4888,0
Calgary Walking,2.33,192,97,142,0.6,0,0,0.611,2300,6033,1
Calgary Walking,2.44,176,99,133,0.5,0,0,0.526,2613,4274,0
Calgary Cycling,7.44,352,135,174,2.6,0,0,0.557,2613,4274,0
Cardio,0,693,116,151,2.0,0,0,1.873,3434,8593,1
Pool Swimming,275,64,133,153,1.6,0,0,0.161,3434,8593,1
Strength,0,545,121,152,2.2,289,29,1.291,3434,8593,1
Calgary Cycling,5.32,181,104,141,0.6,0,0,0.504,2273,825,0
Calgary Cycling,56.24,2666,105,169,2.8,0,0,8.267,4140,2160,0
Strength,0,176,110,144,0.8,243,23,0.500,2310,1649,0
Hockey,0,744,138,180,3.3,0,0,1.166,4314,23961,1
Calgary Hiking,12.86,1846,120,161,3.0,0,0,4.538,4314,23961,1
